human_gene_symbol	human_chromosome
PLB1	2
HSPE1P4	12
EXOSC8	13
LINC02418	12
UBE2B	5
FAM205BP	9
TMTC3	12
MIR4658	7
C9orf131	9
GAL3ST4	7
COX6CP10	3
ZNF620	3
AVPR2	X
RN7SL338P	9
PIGO	9
GPC2	7
HSPE1P10	5
DTWD2	5
FGD5	3
CYP7A1	8
MIR499A	20
MIR499B	20
PRRG3	X
TRPC4AP	20
PLEKHF2	8
CBX3P3	5
PVRIG	7
TMEM251P1	5
LINC02216	5
BCL9P1	5
BRIX1	5
CNGA2	X
STAG3L5P	7
OR5BJ1P	12
FABP5P13	X
LINC02394	12
KRT18P53	X
SHOX	X
LINC02258	12
CPNE8-AS1	12
STAG3L5P-PVRIG2P-PILRB	7
MTCO2P4	8
WSCD2	12
VIRMA	8
STOML2	9
SYP	X
PVRIG2P	7
MIR6840	7
PILRA	7
PPP4R3A	14
RPS27AP17	X
RCN1	11
SREK1	5
STS	X
ZDHHC20P1	6
RNU6-407P	20
HLA-F	6
RBM38	20
RDX	11
MIR4767	X
PNPLA4	X
FAM81A	15
HMGB1P1	20
HCFC2	12
MEPCE	7
CTCFL	20
CHIC1	X
HMGB3P12	3
PPP1R35	7
ADAM3A	8
MON1B	16
HMGB1P5	3
UBE2E2-AS1	3
CT47B1	X
PPP1R35-AS1	7
FAM214B	9
C7orf61	7
FAM156B	X
PDCD6IP	3
HLA-F-AS1	6
TSC22D4	7
LINC02440	12
RPL23AP1	6
MICE	6
MRPS6P4	12
KLHL3	5
SLC5A8	12
IFITM4P	6
HLA-V	6
LINC02251	15
HCG4	6
HLA-P	6
RPL7AP7	6
DCAF8L2	X
ZNF3	7
MICG	6
GCNT2P1	6
ZNF863P	2
CFAP54	12
NSA2P4	15
PAK1IP1	6
IL9R	X
RHCG	15
TMEM14C	6
ZFP90	16
NCAPH	2
TMEM14B-DT	6
ESR2	14
MAGEA6	X
TMEM14B	6
MIR3152	9
RN7SKP258	9
RAP1BP1	9
MID1IP1	X
SAXO1	9
ITGA2-AS1	5
KATNBL1P4	5
MAGED4B	X
RPL27AP5	5
TSSK1B	5
RRAGA	9
CSRNP1	3
NTRK3	15
ADAMTSL1	9
ASS1P9	5
SLC6A5	11
CRB3P1	3
NBPF21P	3
KSR2	12
LINC02214	5
CSNK1G3	5
ZNF502	3
WFDC1	16
RDH10-AS1	8
LINC00400	13
DENR	12
TMEM42	3
ENOX1	13
RAD54B	8
FANCG	9
LINC01267	3
RNU6-393P	7
MIR3609	7
RNF14P3	7
ENTPD3	3
MAP1LC3B	16
SSX2	X
TRRAP	7
HOXC13	12
LINC02444	12
RPS27P23	12
CD81	11
MIP	12
LINC02459	12
ATP2C2-AS1	16
LINC02882	12
CNBD1	8
MTCYBP28	16
ZCCHC14	16
DNAI1	9
RNA5SP203	6
DMD	X
RPL36P19	13
ENOX1-AS2	13
MAK	6
MTCYBP7	2
NUP37	12
ENOX1-AS1	13
SUMF1	3
ENHO	9
SPTBN1	2
DPY19L4	8
CNTFR	9
CCDC122	13
MTND3P19	5
PITX1-AS1	5
PHBP18	12
RNF166	16
IFITM3P5	12
CNTFR-AS1	9
EPB41L4A	5
ANAPC5	12
LACC1	13
RPP25L	9
DCTN3	9
CAPN1	11
HAUS4	14
UBR5	8
DGKZP1	13
GCM2	6
MIR8075	13
LDHBP1	13
TRAPPC2L	16
LAMP1	13
TPMTP2	3
TCEA1P2	3
GALT	9
CNN2P6	3
ZFP57	6
RBSN	3
SOD2	6
LINC00928	15
GZMAP1	5
PITX1	5
OR4F14P	15
TFDP1P3	15
UBE2Q2P1	15
GRTP1	13
FGF10-AS1	5
TRIM36-IT1	5
ARSK	5
HYDIN	16
MSNP1	5
LYZL4	3
RAD50	5
NMNAT1P5	15
GRTP1-AS1	13
OSBPL10-AS1	3
HNRNPH1P1	6
PCK1	20
RNU4ATAC18P	6
WTAP	6
PIF1	15
ZNF501	3
TNFRSF4	1
DCUN1D2	13
CCL27	9
ZBP1	20
TNFRSF18	1
RBMS3	3
PKDCC	2
LTA4H	12
CCL19	9
SOD2-OT1	6
ACAT2	6
CCL21	9
ATAD3B	1
FAM205A	9
SIGMAR1	9
NOL4L	20
TCP1	6
DCUN1D2-AS	13
RNU1-16P	13
MRE11	11
TMCO3	13
BTBD1	15
MIR6877	9
EML4-AS1	2
GTF3C5	9
	1
MTND1P23	1
RPL7P7	1
MTCO3P12	1
DDX11L17	1
ZMYND8	20
PRDM16	1
HHIPL1	14
REG1B	2
GOLGA6L3	15
LINC02254	15
NTN4	12
FITM1	14
OR4K2	14
MRPL50P1	2
ANAPC1P3	2
LRFN5	14
SNX18P14	2
SIN3A	15
TCF7L1	2
PDP2	16
SRGAP3-AS1	3
SLC22A13	3
TFDP1	13
OR4M1	14
SNORA20	6
SNORA29	6
MRPL18	6
OR4K14	14
OR6J1	14
CDT1	16
OR4K13	14
TGM4	3
MAN2A1-DT	5
PNLDC1	6
OR4K1	14
CYP51A1-AS1	7
LINC01033	5
CRLF3P3	2
OR10G3	14
MIR1285-1	7
TUBB3P2	7
RPS2P17	2
IGKV2-4	2
C14orf178	14
MTND2P28	1
HK2	2
ZNF536	19
NF1P4	14
CALD1	7
ACAP3	1
NF1P11	14
GRIK4	11
PCBP2P3	5
RPSAP37	5
RPEP1	5
MTCO2P24	5
AP3S1	5
RALGAPA1	14
LPAR2	19
CEL	9
RPL7L1	6
ADGRD1-AS1	12
GEMIN2P2	3
LINC00173	12
MRPS25	3
ZNF790	19
KLHL36	16
CELP	9
PSMD9	12
RALGDS	9
C6orf226	6
PTCRA	6
EYA1	8
MLKL	16
ARRDC3	5
MARK2P14	3
ADPRHL1	13
EEF1A1P24	3
RPS12P5	3
RPL24P4	6
GNMT	6
TAF9P3	19
NIFKP7	3
EEF1A1P7	19
RPS29P30	19
WTIP	19
TPRXL	3
PEX6	6
MIR217HG	2
WBP1P1	2
TP73-AS3	1
CHMP4AP1	2
SEPHS1P2	15
CAMTA1-IT1	1
NDUFB4P7	2
IRF8	16
ALDH1A3	15
PDCD5P1	12
PUSL1	1
CCDC85A	2
SLC25A46	5
SLC48A1	12
LGALS16	19
LRRN1	3
C11orf49	11
LINC01143	2
DHFRP3	2
CNN2P11	2
RINL	19
RPL23AP38	3
RHBDF1P1	3
LINC01793	2
PPP2R5D	6
VENTXP4	3
OR11M1P	12
RPS24P8	3
H3P11	3
PEX10	1
CCDC12P1	2
IGKV2OR2-1	2
KCNH8	3
ZC3H13	13
SPTBN1-AS1	2
RBX1P1	2
MPHOSPH6-DT	16
RAP1B	12
SNAI3	16
GALNT14	2
GPATCH1	19
LINC02188	16
GNAI2	3
CSNK1A1P3	5
TMEM87A	15
CIAPIN1	16
ZCCHC9	5
MTCO1P12	1
CPTP	1
N4BP2L2	13
LRP3	19
SKI	1
MEGF6	1
ZNF565	19
LMNB1-DT	5
RPL37P25	5
CCT7P2	5
TSPAN32	11
LINC01848	5
SEPTIN7P10	5
CDH12P4	5
RPS29P27	19
LMNB1	5
TMEM143	19
CDK6	7
RPS3AP6	15
SPATA48	7
MED28P6	15
RNU6-978P	15
RN7SL759P	15
RNU6-1235P	15
MIR3118-3	15
RNU6-498P	15
KIAA1549	7
MIR3118-2	15
RPS4XP23	19
RNU6-749P	15
MIR5701-1	15
RN7SL400P	15
JPH3	16
MIR5701-3	15
RNU6-631P	15
VN1R107P	19
MIR5701-2	15
RN7SL495P	15
RN7SL106P	15
RN7SL545P	15
MIR1268A	15
SLC27A5	19
RNA5SP390	15
MIR4715	15
MIR3118-4	15
RNA5SP391	15
RN7SL469P	15
RN7SL673P	15
MIR4509-1	15
SNORD116-5	15
NREP	5
SNORD116-10	15
SNORD116-11	15
SNORD116-17	15
SNORD107	15
SNORD64	15
HSPE1P7	16
SNORD108	15
SNORD109A	15
SNORD116-1	15
SNORD116-2	15
SNORD116-3	15
SNORD116-4	15
SNORD116-6	15
SNORD116-7	15
CNOT11	2
CDH11	16
TAS1R3	1
SNORD116-8	15
SNORD116-9	15
SNORD116-12	15
SNORD116-13	15
SNORD116-14	15
SNORD116-15	15
SLC25A38	3
SNORD116-16	15
CICP7	1
SNORD116-18	15
SNORD116-19	15
WBP1LP6	1
SNORD116-20	15
SNORD116-21	15
LINC01345	1
SNORD116-22	15
SNORD116-23	15
SNORD116-24	15
SNORD116-25	15
LGALS14	19
SNORD116-26	15
SNORD116-27	15
SNORD116-28	15
MIR4510	15
ERRFI1	1
MIR3942	15
RN7SL376P	15
RNU6-516P	15
RN7SL497P	15
GBGT1	9
MIR627	15
RN7SL487P	15
RNU6-188P	15
TACR1	2
NLRP14	11
RNU6-1014P	15
RN7SKP101	15
RNU1-119P	15
RN7SKP139	15
RNA5SP394	15
EEF1DP6	1
RN7SL577P	15
MIR4713	15
PEX14	1
MIR4716	15
RN7SL307P	15
RNU6-94P	15
MIR4712	15
FAM90A28P	19
RN7SL494P	15
RNU2-53P	15
RN7SL568P	15
RNU6-844P	15
RNU6-1306P	11
UBP1	3
RN7SKP95	15
RCOR2	11
SNORD3P1	15
VCX	X
MIR1272	15
RNA5SP397	15
ANKRD27	19
MIR2116	15
RNU4-80P	15
RNU6-212P	15
TMEM196	7
SLC8A1	2
SNORD13D	15
MIR8067	15
RNU5B-1	15
RNU6-1	15
RNU6-745P	15
LINC01646	1
MIR629	15
RNA5SP396	15
MIR4312	15
MIR6881	15
RN7SL327P	15
H2BW2	X
RN7SL429P	15
MIR6882	15
RNU6-19P	15
MEA1	6
RNU2-65P	15
SERTM2	X
RN7SL278P	15
GPNMB	7
LINC01777	1
MIR4313	15
RN7SL319P	15
RNU6-380P	15
RGN	X
MIR4513	15
RN7SL510P	15
NAA40	11
MIR5572	15
MIR631	15
MIR184	15
RNU6-401P	15
RNU6-1339P	15
MIR3713	15
RN7SKP217	15
MIR1276	15
RN7SL428P	15
MIR1179	15
RNU1-77P	15
RNU6-185P	15
RNU7-79P	15
RNU6-1280P	15
MIR7706	15
RN7SL489P	15
MIR7-2	15
RRP36	6
MIR3529	15
RN7SKP181	15
RN7SL677P	15
MIR3175	15
RNA5SP401	15
MIR4714	15
MIR1469	15
RN7SKP254	15
RN7SL209P	15
RNU6-1186P	15
RNU2-3P	15
MTATP8P1	1
ZNF592	15
MTCO2P12	1
LINC02782	1
RN7SL403P	6
KLC4	6
LCN1P1	9
PLCH2	1
ABO	9
RNU6-45P	11
RNU6-1189P	X
RNU12-2P	X
COX8A	11
RBM10	X
PPM1B	2
MACROD1	11
SNORD116-29	15
MEAK7	16
SNORD116-30	15
PWAR1	15
DMAC1P1	15
SNORD115-1	15
SNORD115-2	15
SNORD115-3	15
SNORD115-4	15
SNORD115-5	15
SNORD115-6	15
SNORD115-7	15
SNORD115-8	15
SNORD115-9	15
SNORD115-10	15
SNORD115-11	15
SNORD115-12	15
SNORD115-13	15
SNORD115-14	15
SNORD115-15	15
SNORD115-16	15
SNORD115-17	15
SNORD115-18	15
SNORD115-19	15
SNORD115-20	15
SNORD115-21	15
SNORD115-22	15
SNORD115-23	15
SNORD115-24	15
SNORD115-25	15
SNORD115-26	15
SNORD115-27	15
SNORD115-28	15
SNORD115-29	15
SNORD115-30	15
SNORD115-31	15
SNORD115-32	15
SNORD115-33	15
SNORD115-34	15
SNORD115-35	15
SNORD115-36	15
SNORD115-37	15
SNORD115-38	15
SNORD115-39	15
ZNF619	3
SNORD115-40	15
N4BP2L2-IT2	13
SNORD115-41	15
SNORD115-42	15
SNORD115-43	15
WDR59	16
SNORD115-44	15
SNX10	7
SNORD115-45	15
SNORD115-46	15
STIP1	11
SNORD115-47	15
SNORD115-48	15
NEK5	13
SNORD109B	15
DNAJC5B	8
LINC02242	5
RNU6-90P	15
ZNF737	19
EPB41L4A-DT	5
LCN1P2	9
SURF6	9
CDH12P1	5
IL9	5
LEO1	15
SPSB1	1
BTF3P1	8
RPL12P44	3
CEACAM22P	19
RPL21P135	3
PTDSS1	8
SLC25A13	7
MED22	9
RPL23AP24	1
TSHZ3-AS1	19
AZI2	3
CLC	19
ITPK1P1	X
LZIC	1
MIR583HG	5
UBA1	X
ABCD1P5	2
TGFBI	5
MRPS9	2
IGSF23	19
PTCD1	7
TMOD3	15
MTHFSD	16
RPS12P31	19
ZNF850	19
CIB4	2
CKMT1B	15
TAS2R4	7
ZBTB45	19
CCM2	7
CTBP2P5	2
CEACAM16-AS1	19
MZT1P1	1
CRIM1-DT	2
SOWAHCP5	2
ATP1B3P1	2
RPL7A	9
ZNF155	19
LDHAP3	2
HES3	1
NDFIP2	13
YPEL5	2
MAP4K5	14
LSP1	11
NPM1P52	8
TP73-AS1	1
STRC	15
FAM90A14P	8
TMEM115	3
REXO1L9P	8
RPL30P10	8
TNFRSF11B	8
RPS15P5	3
GNAT1	3
NFKBIB	19
SNORD24	9
SNORD36B	9
SNORD36A	9
GGT8P	2
SNORD36C	9
MRPL2	6
SURF1	9
NDUFAF6	8
MTFR2P1	2
LINC01867	2
RBMS3-AS2	3
BHMT2	5
LGALSL	2
NLRP8	19
LINC02181	16
EXOSC7	3
SLC2A5	1
RIPOR1	16
DYNC1H1	14
RPS26P55	19
SURF2	9
KLC4-AS1	6
GXYLT1P7	2
ZNF283	19
XPO4	13
KCNIP3	2
SMIM32	5
PTK7	6
EDIL3	5
CRYGN	7
SURF4	9
CARD8-AS1	19
ZNF92	7
CEACAM21	19
HYAL1	3
PHAX	5
LINC00598	13
INE1	X
WDR86	7
NDUFB11	X
USP44	12
MOCS2-DT	5
NUP62CL	X
NDUFB4P8	1
LINC02781	1
NIM1K	5
RN7SKP187	7
RPS26P6	8
PAFAH1B1P1	2
MTND5P8	7
MTND6P24	7
RPS6P3	2
MTCYBP24	7
LINC01298	8
PVR	19
GTF3C6P2	X
PLEK	2
MYCLP1	X
DNAJA1P3	X
IFRD1	7
VN1R21P	3
DNAAF6	X
TESC	12
KRT18P45	5
LINC01340	5
NPRL2	3
MTND1P6	8
SUMO2P18	8
RNU6-554P	15
LINC02161	5
RNF138P1	5
RNU6-610P	15
PNPP1	2
MTCYBP45	1
MTND6P22	5
PDIA3P2	15
RMND5A	2
LINC00402	13
NASPP1	8
C9	5
SDCBPP2	8
LINC00551	13
LINC02409	12
CKMT1A	15
MRPL2P1	12
STKLD1	9
RBM19	12
ATP7A	X
RBPMS	8
ZNF114-AS1	19
LINC01103	2
CEACAMP3	19
LINC01058	13
REXO4	9
EPCAM-DT	2
ENO1	1
ZNF404	19
PSAT1P2	2
DNAJC19P2	19
RPL23AP32	2
PRR33	11
ZNF114	19
TEKT4	2
RNF121	11
RIOK2	5
ZNF230-DT	19
LINC01813	2
SLC9A2	2
RNU6-353P	15
MTND4LP30	5
DNAJC19P3	19
RNU6-354P	15
RAB4B-EGLN2	19
ELL3	15
LINC00426	13
SETD9	5
ADAMTS13	9
SNX6P1	19
HMGN2P24	3
ERVK9-11	19
C3orf35	3
SUNO1	19
URI1	19
LSMEM1	7
RPL31	2
KCTD6	3
IL18BP	11
CCNB1	5
NPM1P14	7
NOS3	7
RANP7	3
RAB5A	3
SLC7A5	16
MIR1282	15
MFAP1	15
ZNF230	19
LINC00544	13
CMAS	12
SLC24A1	15
CEACAM7	19
NDUFAF4P3	3
LINC00539	13
GOLGA4-AS1	3
LRRC10	12
XIRP1	3
RPL29P33	19
KLHDC4	16
ZNF222-DT	19
FKBP1B	2
LINC02847	8
ZNF45	19
SDR16C6P	8
GLB1	3
LINC01288	8
CAMKK2	12
SNAI2	8
GJA1P1	5
LINC00463	13
TAF11L14	5
RNU6-72P	11
MIR3165	11
ZNF428	19
LAMTOR1	11
ACIN1	14
RPS12P15	8
VXN	8
IRX1	5
TMEM131	2
ZNF222	19
TUSC8	13
PRR16	5
RHPN2	19
GUSBP16	5
TOMT	11
RPEP6	11
FOLR1P1	11
TPT1P5	5
LECT2	5
PHOX2A	11
MAGEA5P	X
GJA6P	X
RS1	X
MTBP	8
PPEF1-AS1	X
BLOC1S6P1	X
HAUS1P2	X
PHKA2-AS1	X
COX6CP18	11
PLEKHM2	1
KCNQ1-AS1	11
PHKA2	X
KCNQ1DN	11
ASIC3	7
SCAMP1	5
SLC22A18AS	11
EGLN2	19
METTL21EP	13
C2orf49	2
DENND4A	15
SLC22A18	11
SRF	6
RPL31P41	8
LINC00571	13
CHD7	8
NONOP2	2
SNRPGP7	2
ANO10	3
CUL9	6
RB1-DT	13
WBP1P2	2
RN7SL48P	X
SUPT20HL1	X
RPL38P2	2
BTK	X
ANAPC1P1	2
LINC00545	13
MIR4500HG	13
CACFD1	9
CADM4	19
LIX1-AS1	5
RNF149	2
ZNF366	5
ZFPM1-AS1	16
ESRP1	8
PHLDA2	11
LINC01531	19
FANCA	16
TICAM2-AS1	5
CDK5	7
NAP1L4	11
SLC2A6	9
CDH6	5
B3GALT6	1
SIPA1L3	19
DHRS3	1
DLEU2	13
SLC30A6P1	2
LINC01851	2
RACK1P2	2
HOMER1	5
GCFC2	2
SNORD13E	15
MIR4511	15
CA6	1
RAB11A	15
MFSD14C	9
TMUB1	7
DNPH1	6
GLA	X
CYP2T1P	19
CEACAM6	19
TCEA1P1	9
GAS2L1P2	9
AGAP3	7
TTBK1	6
VN1R51P	9
FAM220CP	9
HNRNPA1P44	15
ANKRD18CP	9
EIF5AP3	19
RNU6-798P	9
H3P23	5
ZNF322P1	9
ZNF507	19
RNU6-18P	15
ITIH4	3
RPL22P3	1
SUGT1P4	9
FSTL4	5
LRRC38	1
DNM1P31	15
CTSV	9
RN7SL185P	15
KCNQ5-DT	6
NMNAT1	1
MIR4282	6
KNOP1P4	6
PGAM1P10	6
KCNQ5-AS1	6
ULK4P1	15
RBPMS2P1	6
KHDC1P1	6
KHDC1L	6
DNM1P32	15
SUV39H1	X
LINC00462	13
GOLGA8O	15
KHDC1-AS1	6
MTATP6P1	1
CAMTA1-AS2	1
SMIM2-AS1	13
RPSAP41	6
EIF3EP1	6
MFFP1	1
SDCBP2P1	6
PAICSP3	6
PRAMEF18	1
DPPA5	6
KHDC3L	6
LINC02147	5
PGAM1P11	1
RNU6-1056P	X
GLOD5	X
OOEP-AS1	6
CCDC27	1
EGFLAM-AS4	5
RPL39P3	6
RPS6P8	6
PLAUR	19
DDX43	6
LINC01455	5
RNU6-29P	X
GATA1	X
RPPH1-2P	14
CHURC1-FNTB	14
THBS4	5
MIPEPP3	13
RN7SL539P	15
PCCA-DT	13
CHD5	1
PRECSIT	13
HDAC6	X
ATP6V1C2	2
KHDRBS2-OT1	6
CSPG4P13	15
KHDRBS2	6
LINC00621	13
GUSBP14	5
RAB15	14
C6orf132	6
LINC01609	8
OR13C6P	9
OR13C7	9
OR2AM1P	9
RECK	9
GUCA1B	6
SNORA54	11
NNT	5
RPL23AP65	11
DNAJC3-DT	13
MRPS10	6
SLC25A32	8
SWAP70	11
CRYBG1	6
RN7SL214P	15
COMMD4P1	15
ADAMTS7P3	15
RPSAP48	8
LINC01798	2
CYP2F2P	19
RRS1-DT	8
CIB2	15
LINC01801	19
SGO1-AS1	3
CAPZBP1	2
MTERF3	8
RPL21P36	2
NLRP11	19
FNTB	14
RNA5SP211	6
LINC00606	3
UBAC2-AS1	13
LINC01808	2
CLTA	9
RTN4IP1	6
RN7SKP50	11
LINC02709	11
FBLN2	3
SBF2-AS1	11
LINC01799	2
ASB10	7
RNU6-527P	6
QRSL1	6
WDR4P2	2
RNU7-28P	11
LINC00390	13
DNAH6	2
RPL21P65	6
LINC02526	6
ADM-DT	11
RNU6-117P	6
MIR587	6
SNORA40C	6
RNU6-1115P	6
CNN2P9	6
ADM	11
IQCA1L	7
AMD1	6
VAMP3	1
IL17C	16
ABCF2	7
MAX	14
IDH3A	15
MLXIP	12
ZNF276	16
CFAP418	8
CPB2-AS1	13
RPS29P26	19
PRAMEF29P	1
SLC25A1P5	19
PPIAP85	8
HAUS5-DT	19
DISP3	1
DSCC1	8
CEACAM3	19
GNE	9
REXO1L2P	8
RNU6ATAC33P	11
MRPL13	8
MTRNR2L8	11
MIR4485	11
RNF141	11
MIR7154	11
HERPUD2	7
DPY19L3	19
ITIH1	3
GTF3C6	6
MTND1P5	8
LAPTM4A	2
RPF2	6
CCN3	8
CLSTN1	1
FBXO31	16
HERPUD2-AS1	7
AMDHD1	12
NRBF2P4	8
GSTM2P1	6
RNU6-824P	6
MIR1273C	6
LINC02690	11
RSBN1L	7
TFB1M	6
SLC35C1	11
SYBU	8
PAH	12
LINC01800	2
CLDN20	6
CRY2	11
DYNLRB2	16
MTCO3P45	2
NOX3	6
IGKV2OR2-2	2
RPL34P8	2
HMGB3P24	9
RPL37P12	2
PPP6C	9
RN7SKP186	6
DDR1-DT	6
SOX21-AS1	13
MIR4640	6
MEIS1	2
GTF2H4	6
TMEM60	7
MIR4706	14
PRPS1P2	9
PHTF2	7
DYNLRB2-AS1	16
LINC00404	13
RPSAP76	9
RABEPK	9
NLRP4	19
TPTE2P1	13
MRPL52	14
RPL5P3	15
THSD4-AS1	15
PTPRG-AS1	3
CTCF	16
HSPA5	9
HMGB1P6	15
DNM1P41	15
UBE2Q2L	15
MMEL1	1
CSPG4P11	15
MAPK8IP1	11
GOLGA2P7	15
A1BG	19
NOPCHAP1	12
RNU6-1020P	9
OXSR1	3
RNA5SP281	9
SLC25A5P8	9
ACO1	9
IRGC	19
OR8S21P	12
NACAP8	12
CEACAM16	19
SUDS3	12
RN7SL331P	15
UBE2Q2P8	15
SFTA2	6
C11orf94	11
HNRNPA1P52	19
RN7SL417P	15
PEX16	11
DNM1P51	15
MUCL3	6
KRCC1	2
ZFP36L1	14
CSPG4P5	15
UBE2Q2P11	15
SMG9	19
GGCTP3	2
WDR76	15
FAM110C	2
HCG21	6
NAPGP2	6
MYF5	12
MUC21	6
RPL22P11	2
CCDC196	14
FBXO48	2
MUC22	6
BBS10	12
LINC01964	2
RNU6-1133P	6
C6orf15	6
LINC02825	12
CREG2	2
PSORS1C1	6
RPL23AP67	12
PRCPP1	2
CRADD	12
OTX1	2
TCF7	5
VENTXP7	3
CDSN	6
ESRG	3
LARGE2	11
SCNN1D	1
PSORS1C2	6
KIF15	3
POLR2LP1	6
TCF19	6
PIN4P1	15
STRCP1	15
ZDHHC22	14
UBXN2A	2
FAM204DP	14
CYP2A6	19
MIR1260A	14
LINC02182	16
TPM1	15
GSTZ1	14
CYBA	16
PSORS1C3	6
CCDC60	12
TCF7L1-IT1	2
MTCO1P48	2
VARS2	6
A1BG-AS1	19
FBLIM1P2	11
LINC02710	11
GPR45	2
CREB3L1	11
PPP1R21-DT	2
NKAIN1P2	2
MZF1	19
TESC-AS1	12
TSPYL6	2
ANKRD20A8P	2
NUDT4	12
NDUFB6	9
DBF4P3	2
LINC01885	2
LINC01805	2
ADGRG5	16
DGKZ	11
DDX3ILA1	7
DFFBP1	9
TAF1L	9
ALK	2
RPL13AP17	7
SNRPCP1	9
DDX58	9
MAGI2-AS1	7
ECH1	19
MAGI2-AS2	7
RNU6-337P	7
LINC01414	8
TMEM51	1
RNU6-530P	7
NUP35P2	7
ERAS	X
PCSK1N	X
SUMO2P20	8
MAGI2	7
TMEM74	8
FBXO32	8
PQBP1	X
GALNS	16
C1orf127	1
TCP11L2	12
WASH9P	1
MRPL15	8
ZNF790-AS1	19
TTLL10	1
C3orf18	3
CDKL3	5
BCL3	19
PTPRT	20
TOPORS	9
TMED8	14
NOTCH1	9
PIEZO1	16
NUDT14	14
DBX2	12
RPL39P6	1
SBF1P1	8
TPRG1L	1
BLOC1S3	19
DRAM1	12
ZNF572	8
SMIM4	3
GTF3C4	9
FBXO42	1
ZNF652P1	3
LYPD4	19
TUSC2	3
AK8	9
TIMM17B	X
LYPLA1	8
RN7SKP92	14
LINC02451	12
C1QTNF12	1
HMGN1P17	5
BNIP3P1	14
LINC02030	3
SRRM4	12
TDRD12	19
RPL26P3	14
RNF7P1	3
LINC01339	5
LINC02327	14
PTPRG	3
SPACA9	9
CTNNA1-AS1	5
ATG10-AS1	5
KRT18P16	5
ALDH4A1	1
RBBP4P6	5
EPIST	5
S100Z	5
TSPAN8	12
HMGCS1	5
TSC1	9
LINC02326	14
SLC35A2	X
LINC02019	3
RNU6-864P	14
CABLES2	20
ZDHHC3	3
HAUS5	19
CA7	16
LRP1	12
ILRUNP1	2
DUXAP1	2
RNU11-5P	14
LINC01831	2
LINC00654	20
RNU6-1234P	14
HSPA2-AS1	14
MAP1B	5
TGFA	2
PPP1R36	14
LINC01229	16
LINC01370	20
LINC00494	20
RERE	1
STIMATE-MUSTN1	3
NUP50P1	14
PLEKHG3	14
ZNF497	19
DLGAP4-AS1	20
ZMYND10-AS1	3
SALL4P5	3
ILF2P1	3
GGCT	7
ACTG1P22	2
PDE12	3
LINC00602	6
CYP2G1P	19
GAPDHP72	6
RNU6-153P	6
RPL5P10	3
RASSF1-AS1	3
MIR4688	11
LINC00237	20
RPL31P61	19
GNG5P1	6
DLEC1P1	3
VWA3B	2
PRR18	6
FAM76B	11
LILRP2	19
SFT2D1	6
OXNAD1	3
OCLNP1	5
COX4I1	16
HAMP	19
CEP250-AS1	20
LINC02224	5
TH2LCRR	5
CRHR2	7
CYP2A7P2	19
ZNF749	19
HNRNPA1P49	6
MPC1	6
COX6B1	19
MPC1-DT	6
SPTB	14
ESM1	5
RPS6KA2-IT1	6
MIR1913	6
TBXT	6
LINCADL	5
SV2C-AS1	5
LAMTOR3P2	5
COQ10BP2	5
PSD2-AS1	5
LINC01950	5
PIM2	X
MAP3K10	19
LINC01332	5
PRELID3BP8	5
CEP57	11
CRHBP	5
LINC00917	16
OTUD5	X
ARMC12	6
FER1L6-AS1	8
RPL10P12	12
LINC02910	20
CASC11	8
PBRM1	3
CFAP251	12
MRPS36P3	8
DMRTC2	19
TP53BP1	15
LINC01275	20
MATN2	8
RGMB	5
MIR646HG	20
C6orf89	6
LINC02189	16
LINC02560	19
ACTBP4	5
RNU6-722P	X
KCND1	X
RPL31P60	19
LINC01170	5
MIR7855	14
GARS1	7
COX7A1	19
HCCAT5	16
CCL28	5
POMT2	14
GRIPAP1	X
CDH8-AS1	16
NCOR2	12
HSD17B2	16
CLCN6	1
SRSF7	2
ZNF837	19
ANKRD55	5
RNA5SP345	11
RPL32P25	11
KIR2DL3	19
EFEMP2	11
LINC02135	16
IGFL1P2	19
MRS2	6
RPSAP56	16
UBE2FP2	16
KIR2DP1	19
DUXAP11	16
CX3CL1	16
PEPD	19
TRPC7-AS1	5
CTNNA1P1	5
SPATA9	5
CFDP1	16
YAE1	7
PPP4R1L	20
OR7H2P	5
SEMA6A-AS1	5
GUSBP9	5
RALA	7
LINC01812	2
LINC02125	16
HMGB3P11	2
PTCD2	5
LDHAP7	2
TTC34	1
SLC9B1P2	2
BEND3	6
RNU6-719P	7
PREP	6
CICP22	7
SSBP3P1	7
PRAMEF2	1
LINC00265	7
RPS24P6	2
NEURL3	2
PRAMEF4	1
LSM1	8
MIR653	7
CELA2A	1
MIR489	7
FIBP	11
CALCR	7
FAM166C	2
SNORA11G	X
NUDT7	16
FBXO43	8
TRO	X
TTC7A	2
MIR1-1HG-AS1	20
CELA2B	1
SCAF8	6
SDCBP	8
GNAS-AS1	20
LINC01727	20
CTU2	16
SPEN	1
KIR2DL1	19
LINC00659	20
BUB1B	15
CCDC85B	11
FOSL1	11
LAMA5-AS1	20
RER1	1
SNAP25-AS1	20
C11orf68	11
CILK1	6
DRAP1	11
MGAM	7
ZNF614	19
RALY-AS1	20
THBS4-AS1	5
HOXC12	12
LINC01023	5
PPIC-AS1	5
OSER1-DT	20
UHRF1BP1L-DT	12
NCKAP1L	12
SMN2	5
ZNF584	19
SDCBP2-AS1	20
CENPW	6
TSGA10IP	11
PELATON	20
PANK4	1
CENPBD1P1	19
KCNK16	6
ZNF432	19
