human_gene_symbol	human_chromosome
KIR2DL1	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
	CHR_HSCHR12_6_CTG2_1
GEMIN2P1	CHR_HSCHR1_1_CTG31
KIR2DL4	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1
	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
	CHR_HSCHR19KIR_LUCE_A_HAP_CTG3_1
GATAD2B	CHR_HSCHR1_1_CTG31
KIR2DS4	CHR_HSCHR19KIR_LUCE_A_HAP_CTG3_1
KIR2DL1	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
LILRP1	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1
KIR3DL3	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1
KIR3DL1	CHR_HSCHR19KIR_LUCE_A_HAP_CTG3_1
LILRP2	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
KIR3DS1	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
OR9G4	CHR_HG151_NOVEL_TEST
OR5G3	CHR_HG151_NOVEL_TEST
KIR2DS4	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
OR9G3P	CHR_HG151_NOVEL_TEST
OR5G1P	CHR_HG151_NOVEL_TEST
SLC27A3	CHR_HSCHR1_1_CTG31
KIR2DL3	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
KIR3DL1	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
KIR2DL2	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
OR5G4P	CHR_HG151_NOVEL_TEST
OR5G5P	CHR_HG151_NOVEL_TEST
KIR3DL2	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
KIR2DL3	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1
KIR3DL2	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
	GL000220.1
KIR3DL3	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
RNA5-8SN5	GL000220.1
KIR2DL1	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1
KIR2DS4	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
OR9G2P	CHR_HG151_NOVEL_TEST
KIR3DL2	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
OR9G1	CHR_HG151_NOVEL_TEST
KIR2DL4	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1
KIR3DL3	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
KIR2DP1	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
	CHR_HG151_NOVEL_TEST
OR9G9	CHR_HG151_NOVEL_TEST
KIR3DL2	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
LINC02735	CHR_HG151_NOVEL_TEST
FCAR	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
KIR3DL3	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1
LINC00254	CHR_HSCHR16_4_CTG1
KIR2DL1	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
HS3ST6	CHR_HSCHR16_4_CTG1
MEIOB	CHR_HSCHR16_4_CTG1
LINC02124	CHR_HSCHR16_4_CTG1
	CHR_HSCHR19_2_CTG2
ZNF43	CHR_HSCHR19_2_CTG2
KIR2DS5	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
KIR2DP1	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1
KIR2DL3	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
KIR2DL2	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
ZNF100	CHR_HSCHR19_2_CTG2
KIR2DL3	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1
KIR3DL2	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1
KIR2DL4	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
LILRP1	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
KIR2DL5A	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
KIR2DL1	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1
LILRP2	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
CCNYL6	CHR_HSCHR19_2_CTG2
BRI3BPP1	CHR_HSCHR19_2_CTG2
	CHR_HSCHR17_5_CTG4
VN1R84P	CHR_HSCHR19_2_CTG2
LILRP1	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
KIR2DP1	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1
MTDHP4	CHR_HSCHR19_2_CTG2
KIR2DL3	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
KIR2DL3	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1
KRTAP9-2	CHR_HSCHR17_5_CTG4
KRTAP9-4	CHR_HSCHR17_5_CTG4
KIR2DL3	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1
KRTAP9-3	CHR_HSCHR17_5_CTG4
KRTAP9-10P	CHR_HSCHR17_5_CTG4
KIR3DL3	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
NCR1	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1
KRTAP9-2	CHR_HSCHR17_6_CTG4
FCAR	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1
KRTAP9-10P	CHR_HSCHR17_6_CTG4
KRTAP29-1	CHR_HSCHR17_5_CTG4
KRTAP9-4	CHR_HSCHR17_6_CTG4
KIR2DL5B	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1
KRTAP9-6	CHR_HSCHR17_6_CTG4
FCAR	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1
KRTAP9-7	CHR_HSCHR17_6_CTG4
KIR2DL4	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
KRTAP29-1	CHR_HSCHR17_6_CTG4
KRTAP9-12P	CHR_HSCHR17_6_CTG4
KRTAP9-11P	CHR_HSCHR17_6_CTG4
	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
KRTAP9-9	CHR_HSCHR17_6_CTG4
